By Year,TEAM,GP,MIN,%FGA,%FGA.1,%PTS,%PTS.1,%PTS.2,%PTS.3,%PTS.4,%PTS.5,%PTS.6,2FGM,2FGM.1,3FGM,3FGM.1,FGM,FGM.1,player_name,player_id
2013-14,NOP,67,35.2,99.1,0.9,74.6,20.7,0.4,13.9,25.0,17.4,53.9,66.7,33.3,100.0,0.0,66.9,33.1,Anthony Davis,10
2012-13,NOH,64,28.8,99.1,0.9,80.5,14.8,0.0,12.6,19.5,19.0,65.7,76.5,23.5,0.0,0.0,76.5,23.5,Anthony Davis,10
2024-25,LAL,31,34.7,87.8,12.2,67.2,10.4,8.2,8.8,24.6,15.9,56.9,60.7,39.3,95.5,4.5,63.3,36.7,Anthony Edwards,16
2023-24,LAL,76,35.5,91.7,8.3,72.9,9.2,4.6,7.6,22.5,14.5,63.8,67.0,33.0,96.6,3.4,68.2,31.8,Anthony Edwards,16
2022-23,LAL,56,34.0,92.3,7.7,72.1,11.0,3.9,7.0,24.0,12.9,61.1,62.5,37.5,100.0,0.0,63.8,36.2,Anthony Edwards,16
2021-22,LAL,40,35.1,89.9,10.1,77.0,15.5,4.2,9.4,18.8,16.1,61.5,64.7,35.3,84.6,15.4,65.4,34.6,Anthony Edwards,16
2020-21,LAL,36,32.3,83.7,16.3,70.0,16.3,9.9,8.4,20.1,12.7,53.7,57.5,42.5,96.2,3.8,60.8,39.2,Anthony Edwards,16
2019-20,LAL,62,34.4,80.1,19.9,59.2,10.9,13.3,12.2,27.5,15.8,48.3,57.8,42.2,98.6,1.4,63.2,36.8,Anthony Edwards,16
2018-19,NOP,56,33.0,85.9,14.1,66.4,11.4,9.9,10.7,23.7,17.1,55.0,61.8,38.2,100.0,0.0,65.3,34.7,Anthony Edwards,16
2017-18,NOP,75,36.4,88.9,11.1,68.7,13.9,7.8,12.7,23.5,15.0,54.8,70.1,29.9,90.9,9.1,71.5,28.5,Anthony Edwards,16
2016-17,NOP,75,36.1,91.2,8.8,69.6,23.3,5.7,8.0,24.7,12.3,46.2,64.4,35.6,100.0,0.0,66.2,33.8,Anthony Edwards,16
2015-16,NOP,61,35.5,90.5,9.5,70.9,25.8,7.1,9.0,22.0,13.8,45.1,72.8,27.2,94.3,5.7,74.1,25.9,Anthony Edwards,16
2014-15,NOP,68,36.1,99.0,1.0,77.4,28.0,0.2,10.6,22.4,14.6,49.4,71.5,28.5,100.0,0.0,71.5,28.5,Anthony Edwards,16
2013-14,NOP,67,35.2,99.1,0.9,74.6,20.7,0.4,13.9,25.0,17.4,53.9,66.7,33.3,100.0,0.0,66.9,33.1,Anthony Edwards,16
2012-13,NOH,64,28.8,99.1,0.9,80.5,14.8,0.0,12.6,19.5,19.0,65.7,76.5,23.5,0.0,0.0,76.5,23.5,Anthony Edwards,16
