Match Up,W/L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,#ERROR!,Team
"Jan 15, 2025 - MIA @ LAL",L,31:01:00,10,3,7,42.9,1,3,33.3,3,4,75,0,4,4,5,1,0,3,3,-10,MIA
"Jan 11, 2025 - MIA @ POR",W,30:10:00,13,6,13,46.2,1,2,50,0,0,0,3,8,11,6,1,0,1,3,7,
"Jan 09, 2025 - MIA @ UTA",W,28:43:00,15,6,13,46.2,1,2,50,2,4,50,2,5,7,3,3,2,1,1,0,
"Jan 07, 2025 - MIA @ GSW",W,29:48:00,19,9,14,64.3,1,1,100,0,1,0,3,6,9,5,2,1,1,1,18,
"Jan 06, 2025 - MIA @ SAC",L,44:57:00,18,6,19,31.6,1,5,20,5,6,83.3,2,10,12,2,4,1,2,2,-3,
"Jan 04, 2025 - MIA vs. UTA",L,25:33:00,4,0,6,0,0,1,0,4,6,66.7,1,7,8,2,1,1,3,1,-24,
"Jan 02, 2025 - MIA vs. IND",L,25:09:00,20,8,12,66.7,0,1,0,4,6,66.7,3,5,8,2,1,0,1,0,-13,
"Jan 01, 2025 - MIA vs. NOP",W,31:18:00,23,9,14,64.3,0,2,0,5,5,100,1,8,9,10,2,0,4,3,6,
"Dec 29, 2024 - MIA @ HOU",W,34:17:00,12,4,12,33.3,0,1,0,4,6,66.7,2,8,10,1,3,0,2,5,-1,
"Dec 28, 2024 - MIA @ ATL",L,36:32:00,17,8,17,47.1,0,2,0,1,1,100,3,7,10,2,1,2,2,3,-1,
"Dec 26, 2024 - MIA @ ORL",W,35:13:00,4,2,10,20,0,1,0,0,0,0,3,6,9,7,0,5,4,4,-3,
"Dec 23, 2024 - MIA vs. BKN",W,30:31:00,23,8,12,66.7,0,2,0,7,8,87.5,0,7,7,7,1,0,2,1,8,
"Dec 21, 2024 - MIA @ ORL",L,34:20:00,23,8,15,53.3,0,4,0,7,11,63.6,1,5,6,0,2,0,4,2,-35,
"Dec 20, 2024 - MIA vs. OKC",L,35:50:00,17,7,11,63.6,0,1,0,3,6,50,3,7,10,1,1,1,6,2,5,
"Dec 16, 2024 - MIA @ DET",L,40:44:00,15,6,12,50,1,3,33.3,2,2,100,1,7,8,3,1,0,1,1,-10,
"Dec 12, 2024 - MIA vs. TOR",W,34:31:00,21,8,17,47.1,1,3,33.3,4,6,66.7,3,13,16,5,0,1,1,2,7,
"Dec 08, 2024 - MIA vs. CLE",W,36:02:00,16,7,14,50,2,4,50,0,0,0,1,12,13,6,0,1,1,2,20,
"Dec 07, 2024 - MIA vs. PHX",W,34:13:00,25,9,16,56.3,1,4,25,6,8,75,4,8,12,8,1,0,4,3,22,
"Dec 04, 2024 - MIA vs. LAL",W,24:36:00,14,6,8,75,0,1,0,2,3,66.7,0,10,10,7,1,1,2,1,22,
"Dec 02, 2024 - MIA @ BOS",L,33:22:00,15,6,18,33.3,1,4,25,2,2,100,2,6,8,5,1,0,3,1,-17,
"Dec 01, 2024 - MIA @ TOR",L,38:36:00,13,5,13,38.5,1,2,50,2,2,100,4,16,20,7,1,0,5,3,15,
