Traditional Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,,,,
2019-20,SAC,51,32,77.3,22.7,62.6,7.8,15,16.8,22.4,15.7,54.8,14.5,85.5,61.1,38.9,21,79,,,,,,,,,,,
2018-19,SAC,81,31.4,78.9,21.1,59.9,11.6,18.4,24.9,21.7,23.2,48.3,17.2,82.8,52.3,47.7,23.2,76.8,,,,,,,,,,,
2017-18,SAC,73,27.7,80.8,19.2,66.6,20.1,16.7,18.8,16.7,16.4,46.4,21.7,78.3,61.7,38.3,27.4,72.6,,,,,,,,,,,
Usage Splits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Year,TEAM,GP,MIN,USG%,%FGM,%FGA,%3PM,%3PA,%FTM,%FTA,%OREB,%DREB,%REB,%AST,%TOV,%STL,%BLK,%BLKA,%PF,%PFD,%PTS,,,,,,,,
2024-25,SAC,34,1265,29.5,30.1,29.1,23.9,23.8,35,34.8,13.5,15.4,14.9,32,33.7,27,9.9,28.2,18.4,33,30.3,,,,,,,,
2023-24,SAC,74,2659,30,29.6,30.4,26.3,26.5,34.9,35.5,11.1,14.8,13.9,27.4,27.9,35,13.2,26,17.9,31.9,29.9,,,,,,,,
2022-23,SAC,73,2435,28.8,30,29.4,17.7,20.2,32.3,32.8,7.8,15.9,14,33.8,28.2,23.4,13.5,25.6,17.3,31.9,29.1,,,,,,,,
2021-22,SAC,59,2083,28.4,28.4,28.5,15.7,18.4,30.5,31.8,6,14,12.3,32.3,28,24.1,13.8,23.9,20.1,30.7,27.6,,,,,,,,
2020-21,SAC,58,2036,30.4,29.3,29.6,20,22.8,38.7,40.2,8.4,12.6,11.7,40.1,32.2,29.2,13.4,32.8,20.2,36.8,29.8,,,,,,,,
2019-20,SAC,51,1634,29,27.4,26.9,12,15.5,43.4,45.8,11.5,14.3,13.7,43.3,34.5,28.5,18.9,33.8,18.8,41.6,27.9,,,,,,,,
2018-19,SAC,81,2546,23.8,21.6,22,14.3,14.8,33.7,33.7,7.2,14.1,12.4,42.3,32.4,28.9,18.1,27.5,18.1,33.7,22.7,,,,,,,,
2017-18,SAC,73,2026,22.7,19.7,21.7,12.6,15.9,27.8,26.9,8.7,12.9,11.9,34.6,29.8,21.1,12.3,30.6,18.6,26.4,20.1,,,,,,,,
